,index,Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0,8379,2004-03-11,15:00:00,2.2,1310.0,79,8.826222726457212,932.5,184.0,1081.75,126.0,1646.5,946.25,8.325000166893,79.799999237061,0.8777844450980445
1,8463,2004-03-15,03:00:00,1.1,1078.25,44,4.429862930483551,734.0,-200.0,1128.25,-200.0,1486.75,1020.5,12.599999904633,63.474999427795,0.9230174218998716
2,8464,2004-03-15,04:00:00,-200.0,1077.5,44,3.9959242929204266,710.5,66.0,1150.0,71.0,1467.5,1012.75,12.349999904633,65.35000038147,0.9351122865764487
3,8465,2004-03-15,05:00:00,1.0,1074.5,39,3.8659143375749494,703.25,88.0,1155.75,74.0,1463.75,1010.0,11.899999856949,67.449998855591,0.9375381769341324
4,8466,2004-03-15,06:00:00,1.4,1156.75,51,6.3853200900791585,829.5,138.0,1029.5,80.0,1584.0,1083.0,11.375,70.52499961853,0.9475162243381903
5,8467,2004-03-15,07:00:00,2.2,1314.0,107,9.685046806517573,965.75,228.0,896.75,89.0,1710.25,1234.75,11.324999809265,70.200000762939,0.940095096018487
6,8468,2004-03-15,08:00:00,5.5,1796.75,336,25.870457660998934,1451.0,360.0,652.0,114.0,2323.0,1679.5,12.400000095367,63.875000953674,0.9169546941482681
7,8469,2004-03-15,09:00:00,8.1,1961.25,618,36.69206253067248,1701.0,478.0,536.75,149.0,2665.25,2184.25,14.774999856949,54.324999809265,0.9076095360418625
8,8470,2004-03-15,10:00:00,5.8,1770.5,438,26.6360247644022,1470.0,394.0,621.5,157.0,2261.5,1973.0,17.400000095367,45.64999961853,0.8992981706467373
9,8471,2004-03-15,11:00:00,4.2,1563.5,334,20.11092309343549,1299.5,319.0,709.75,155.0,2029.0,1798.25,19.800000190735,38.525000572205,0.880059991386787
10,8472,2004-03-15,12:00:00,3.1,1430.0,221,14.096485799877708,1119.75,201.0,830.5,134.0,1783.25,1522.0,22.025000095367,34.050000190735,0.8903685188126028
11,8473,2004-03-15,13:00:00,2.9,1417.25,207,14.9257192296359,1146.25,171.0,829.5,119.0,1830.5,1404.0,23.324999809265,32.174999237061,0.9095992195673936
12,8474,2004-03-15,14:00:00,2.9,1400.25,191,15.436141471547911,1162.25,159.0,838.25,111.0,1828.5,1263.25,23.875,29.97500038147,0.8756585288124981
13,8475,2004-03-15,15:00:00,2.5,1317.25,185,12.09085021877653,1052.75,153.0,926.0,104.0,1706.75,1137.0,24.449999809265,28.900000095367,0.873591912397843
14,8476,2004-03-15,16:00:00,2.3,1317.75,141,11.524820242423965,1033.0,143.0,949.75,99.0,1675.0,1068.0,24.375,29.39999961853,0.8847617117200978
15,8477,2004-03-15,17:00:00,2.8,1445.25,214,14.759833471701361,1141.0,156.0,856.5,110.0,1823.5,1251.5,23.849999904633,31.325000762939,0.913735211108514
16,8478,2004-03-15,18:00:00,6.1,1917.0,471,32.14884367945396,1600.5,314.0,631.25,162.0,2447.0,1843.25,22.549999237061,35.375000953674,0.9546998207473483
17,8479,2004-03-15,19:00:00,8.0,2039.75,685,39.20233967931091,1754.25,404.0,542.25,187.0,2679.0,2122.25,20.425000667572,42.5,1.0086313341074233
18,8480,2004-03-15,20:00:00,6.5,1894.75,538,30.961305060452627,1573.25,320.0,565.0,165.0,2442.75,1991.5,18.275000095367,52.625000953674,1.0945180933132785
19,8481,2004-03-15,21:00:00,4.2,1594.5,319,19.895621463254436,1293.5,256.0,678.25,145.0,2057.5,1707.0,16.650000095367,57.375,1.0786268914239705
20,8482,2004-03-15,22:00:00,3.2,1438.5,224,15.31585504960172,1158.5,193.0,764.25,125.0,1856.25,1494.25,15.699999809265,60.150000572205,1.0653715549625937
21,8483,2004-03-15,23:00:00,1.4,1141.5,67,6.895403347240391,852.25,89.0,1008.25,101.0,1547.25,1164.25,15.250000238419,61.449998855591,1.0579554990778919
22,8484,2004-03-16,00:00:00,2.1,1303.6666666667,155,11.139929168771717,1019.3333333333,127.0,852.33333333333,103.0,1731.3333333333,1271.6666666667,14.066666603088,65.699999491374,1.049372403097042
23,8485,2004-03-16,01:00:00,1.2,1074.25,49,5.40550061636386,783.5,79.0,1097.75,88.0,1483.0,1039.75,14.825000047684,60.550001144409,1.0148194658330398
24,8486,2004-03-16,02:00:00,0.8,968.0,29,2.810688037123539,640.0,43.0,1319.5,61.0,1385.75,866.75,14.75,59.224999427795,0.9879081107816498
25,8487,2004-03-16,03:00:00,0.7,929.25,25,2.325061547147355,607.5,-200.0,1375.5,-200.0,1364.25,825.75,13.624999761581,62.050000190735,0.9635549956184191
26,8488,2004-03-16,04:00:00,-200.0,941.0,25,2.5891783027743425,625.5,59.0,1315.75,59.0,1373.25,839.75,12.324999809265,66.150000572205,0.9450361951968503
27,8489,2004-03-16,05:00:00,0.6,937.0,17,2.0087426345174735,584.75,38.0,1411.5,52.0,1348.0,792.5,12.75,63.22500038147,0.9282898040213576
28,8490,2004-03-16,06:00:00,0.9,1017.0,27,3.4826893251173856,681.25,82.0,1245.75,64.0,1417.5,869.5,11.174999952316,68.47500038147,0.9081071231015929
29,8491,2004-03-16,07:00:00,1.3,1171.25,50,5.131232180692032,770.0,99.0,1161.75,70.0,1466.75,930.0,10.975000143051,66.5,0.8705229495981881
30,8492,2004-03-16,08:00:00,3.4,1541.0,218,16.17445704918363,1185.0,263.0,770.0,97.0,1888.75,1406.5,11.674999952316,63.650000572205,0.8719365877065632
31,8493,2004-03-16,09:00:00,3.7,1539.25,285,19.663493856394243,1287.0,229.0,697.5,95.0,2054.75,1507.0,13.625,56.299999237061,0.8742650471769098
